"AQI","latitude","longitude","state_name"
82,27.633089,-82.54593,"Florida"
22,27.307268,-82.570376,"Florida"
32,30.0925,-84.161111,"Florida"
60,29.489083,-81.276833,"Florida"
64,30.130433,-85.731517,"Florida"
10,28.523889,-81.723333,"Florida"
61,28.332225,-82.305643,"Florida"
81,27.946688,-82.731767,"Florida"
50,27.939746,-82.000084,"Florida"
73,28.028889,-81.972222,"Florida"
79,27.96565,-82.2304,"Florida"
81,26.073536,-80.33845,"Florida"
18,30.426533,-86.666217,"Florida"
22,27.172458,-80.240689,"Florida"
5,30.1103,-84.9903,"Florida"
70,26.593808,-80.058492,"Florida"
81,29.566112,-82.26608,"Florida"
30,28.453167,-81.397139,"Florida"
82,30.201111,-82.441111,"Florida"
12,26.087567,-80.111152,"Florida"
58,26.449247,-81.939256,"Florida"
13,27.480873,-82.618709,"Florida"
7,27.785866,-82.739875,"Florida"
78,30.394133,-87.008033,"Florida"
14,26.602016,-81.877908,"Florida"
4,25.732878,-80.16175,"Florida"
16,27.892523,-82.538429,"Florida"
47,30.439722,-84.346389,"Florida"
4,29.170533,-82.100646,"Florida"
62,29.192754,-82.173149,"Florida"
71,29.206667,-81.0525,"Florida"
85,30.36805,-87.270967,"Florida"
67,27.189215,-81.34035,"Florida"
28,27.740033,-82.465146,"Florida"
51,27.449763,-82.522041,"Florida"
72,28.347509,-81.636464,"Florida"
36,28.090299,-82.700707,"Florida"
58,27.089194,-82.362583,"Florida"
59,30.378217,-81.8409,"Florida"
89,25.587327,-80.325922,"Florida"
77,30.477725,-81.587339,"Florida"
50,28.195574,-82.756264,"Florida"
1,27.350278,-82.479722,"Florida"
1,28.746111,-81.310556,"Florida"
86,26.270083,-81.710959,"Florida"
0,30.260278,-81.453611,"Florida"
26,33.6878,-84.2905,"Georgia"
79,33.433949,-84.161811,"Georgia"
74,33.4339,-82.0224,"Georgia"
52,33.582044,-82.131249,"Georgia"
55,32.805264,-83.543493,"Georgia"
62,34.015436,-84.607423,"Georgia"
19,33.9632,-84.0691,"Georgia"
59,33.588545,-84.069608,"Georgia"
1,31.169805,-81.495035,"Georgia"
80,33.918137,-83.344385,"Georgia"
30,32.06848,-81.04942,"Georgia"
40,33.720742,-84.357316,"Georgia"
10,32.521272,-84.944635,"Georgia"
50,33.1787,-84.4052,"Georgia"
53,34.376227,-84.059506,"Georgia"
25,33.741242,-84.776429,"Georgia"
0,34.474526,-85.408847,"Georgia"
47,34.785219,-84.626423,"Georgia"
19,31.954286,-84.08101,"Georgia"
21,21.323745,-158.088613,"Hawaii"
64,21.303382,-157.871171,"Hawaii"
90,43.600699,-116.347853,"Idaho"
35,43.460556,-113.562222,"Idaho"
45,42.876725,-112.460347,"Idaho"
31,46.2756,-116.0216,"Idaho"
73,43.577603,-116.178156,"Idaho"
45,41.221537,-88.190967,"Illinois"
13,40.05278,-88.37251,"Illinois"
61,42.2869,-89.9997,"Illinois"
21,38.869001,-89.622816,"Illinois"
59,42.467573,-87.810047,"Illinois"
4,42.139996,-87.799227,"Illinois"
49,38.860669,-90.105851,"Illinois"
69,42.334982,-89.037775,"Illinois"
66,41.514727,-90.51735,"Illinois"
72,39.210857,-87.668297,"Illinois"
28,41.984332,-87.792002,"Illinois"
67,39.396075,-89.809739,"Illinois"
88,38.901362,-90.146308,"Illinois"
50,41.813049,-88.072827,"Illinois"
13,41.965193,-87.876265,"Illinois"
71,39.831522,-89.640926,"Illinois"
17,38.612034,-90.160477,"Illinois"
85,39.101439,-90.344494,"Illinois"
47,40.244913,-88.188519,"Illinois"
65,42.049148,-88.273029,"Illinois"
